Fecha cotizacion;Compra;Venta;
10/1/2022;102,5000;108,5000;
11/1/2022;102,5000;108,5000;
12/1/2022;102,7500;108,7500;
13/1/2022;102,7500;108,7500;
14/1/2022;102,7500;108,7500;
17/1/2022;103,0000;109,0000;
18/1/2022;103,0000;109,0000;
19/1/2022;103,0000;109,0000;
20/1/2022;103,0000;109,0000;
21/1/2022;103,2500;109,2500;
24/1/2022;103,5000;109,5000;
25/1/2022;103,5000;109,5000;
26/1/2022;103,5000;109,5000;
27/1/2022;104,0000;110,0000;
28/1/2022;104,2500;110,2500;
31/1/2022;104,2500;110,2500;
1/2/2022;104,2500;110,2500;
2/2/2022;104,2500;110,2500;
3/2/2022;104,5000;110,5000;
4/2/2022;104,7500;110,7500;
7/2/2022;105,0000;111,0000;
8/2/2022;105,0000;111,0000;
9/2/2022;105,0000;111,0000;
10/2/2022;105,2500;111,2500;
11/2/2022;105,2500;111,2500;
14/2/2022;105,7500;111,7500;
15/2/2022;106,0000;112,0000;
16/2/2022;106,0000;112,0000;
17/2/2022;106,0000;112,0000;
18/2/2022;106,0000;112,0000;
21/2/2022;106,2500;112,2500;
22/2/2022;106,5000;112,5000;
23/2/2022;106,5000;112,5000;
24/2/2022;106,5000;112,5000;
25/2/2022;106,5000;112,5000;
2/3/2022;107,0000;113,0000;
3/3/2022;107,2500;113,2500;
4/3/2022;107,2500;113,2500;
7/3/2022;107,7500;113,7500;
8/3/2022;107,7500;113,7500;
9/3/2022;108,0000;114,0000;
10/3/2022;108,0000;114,0000;
11/3/2022;108,0000;114,0000;
14/3/2022;108,2500;114,2500;
15/3/2022;108,5000;114,5000;
16/3/2022;108,5000;114,5000;
17/3/2022;108,5000;114,5000;
18/3/2022;108,7500;114,7500;
21/3/2022;109,0000;115,0000;
22/3/2022;109,2500;115,2500;
23/3/2022;109,5000;115,5000;
25/3/2022;109,5000;115,5000;
28/3/2022;109,7500;115,7500;
29/3/2022;109,7500;115,7500;
30/3/2022;110,0000;116,0000;
31/3/2022;110,0000;116,0000;
1/4/2022;110,2500;116,2500;
4/4/2022;110,7500;116,7500;
5/4/2022;110,7500;116,7500;
6/4/2022;111,0000;117,0000;
7/4/2022;111,2500;117,2500;
8/4/2022;111,2500;117,2500;
11/4/2022;111,7500;117,7500;
12/4/2022;111,7500;117,7500;
13/4/2022;112,0000;118,0000;
18/4/2022;112,5000;118,5000;
19/4/2022;112,7500;118,7500;
20/4/2022;113,0000;119,0000;
21/4/2022;113,2500;119,2500;
22/4/2022;113,5000;119,5000;
25/4/2022;113,5000;119,5000;
26/4/2022;113,7500;119,7500;
27/4/2022;113,7500;119,7500;
28/4/2022;113,7500;119,7500;
29/4/2022;114,2500;120,2500;
2/5/2022;114,5000;120,5000;
3/5/2022;115,0000;121,0000;
4/5/2022;115,2500;121,2500;
5/5/2022;115,2500;121,2500;
6/5/2022;115,7500;121,7500;
9/5/2022;115,7500;121,7500;
10/5/2022;116,0000;122,0000;
11/5/2022;116,2500;122,2500;
12/5/2022;116,5000;122,5000;
13/5/2022;117,0000;123,0000;
16/5/2022;117,0000;123,0000;
17/5/2022;117,2500;123,2500;
19/5/2022;117,5000;123,5000;
20/5/2022;117,7500;123,7500;
23/5/2022;118,0000;124,0000;
24/5/2022;118,2500;124,2500;
26/5/2022;118,2500;124,2500;
27/5/2022;118,5000;124,5000;
30/5/2022;119,0000;125,0000;
31/5/2022;119,2500;125,2500;
1/6/2022;119,2500;125,2500;
2/6/2022;119,5000;125,5000;
3/6/2022;120,0000;126,0000;
6/6/2022;120,2500;126,2500;
7/6/2022;120,2500;126,2500;
8/6/2022;120,5000;126,5000;
9/6/2022;120,7500;126,7500;
10/6/2022;121,0000;127,0000;
13/6/2022;121,2500;127,2500;
14/6/2022;121,5000;127,5000;
15/6/2022;121,7500;127,7500;
16/6/2022;121,7500;127,7500;
21/6/2022;122,5000;128,5000;
22/6/2022;122,5000;128,5000;
23/6/2022;122,7500;128,7500;
24/6/2022;122,7500;128,7500;
27/6/2022;123,7500;129,7500;
28/6/2022;123,7500;129,7500;
29/6/2022;123,7500;129,7500;
30/6/2022;124,0000;130,0000;
1/7/2022;124,2500;130,2500;
4/7/2022;125,5000;131,5000;
5/7/2022;125,7500;131,7500;
6/7/2022;126,0000;132,0000;
7/7/2022;125,7500;132,2500;
8/7/2022;126,2500;133,2500;
11/7/2022;126,7500;134,2500;
12/7/2022;126,7500;134,7500;
13/7/2022;127,0000;135,0000;
14/7/2022;127,0000;135,0000;
15/7/2022;127,0000;135,0000;
18/7/2022;127,2500;135,2500;
19/7/2022;127,7500;135,7500;
20/7/2022;127,7500;135,7500;
21/7/2022;128,0000;136,0000;
22/7/2022;128,0000;136,0000;
25/7/2022;128,7500;136,7500;
26/7/2022;129,0000;137,0000;
27/7/2022;129,2500;137,2500;
28/7/2022;129,2500;137,2500;
29/7/2022;129,2500;137,2500;
1/8/2022;130,2500;138,2500;
